,nct_id,start_date,phase,year,BreastCancer,ProstateCancer,Stroke,HeartFailure,Pain,Obesity,Cancer,Depression,Hypertension,Anxiety,UnitedStates,Canada,China,France,Germany,UnitedKingdom,Korea,Italy,Spain,Turkey
6593,NCT04517292,2020/10/8,PHASE2,2020,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6594,NCT04517812,2018/7/18,NA,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6595,NCT04518293,2021/6/26,PHASE3,2021,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
6596,NCT04518306,2021/6/6,PHASE3,2021,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
6597,NCT04518943,2022/3/17,NA,2022,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
6598,NCT04519060,2021/2/1,NA,2021,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6599,NCT04519164,2020/12/1,PHASE4,2020,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6600,NCT04519892,2020/11/13,NA,2020,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6601,NCT04519931,2020/11/5,NA,2020,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6602,NCT04520100,2020/10/2,NA,2020,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
6603,NCT04520958,2019/10/29,NA,2019,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6604,NCT04521023,2017/9/20,PHASE4,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
